Sample,date,technical replicate,titer
LZ22208,2/8/2023,1,165
LZ22209,2/8/2023,1,158
LZ22221,2/8/2023,1,92
LZ22208,2/13/2023,1,191
LZ22209,2/13/2023,1,190
LZ22221,2/13/2023,1,100
negative control,2/13/2023,1,198
LZ22208,2/13/2023_MT,1,310
LZ22209,2/13/2023_MT,1,291
LZ22221,2/13/2023_MT,1,160
negative control,2/13/2023_MT,1,298
LZ22208,2/13/2023,1,125
LZ22209,2/13/2023,1,137
LZ22221,2/13/2023,1,68
negative control,2/13/2023,1,145
LZ22208,2/8/2023,2,140
LZ22209,2/8/2023,2,120
LZ22221,2/8/2023,2,82
LZ22208,2/13/2023,2,172
LZ22209,2/13/2023,2,198
LZ22221,2/13/2023,2,126
negative control,2/13/2023,2,196
LZ22208,2/13/2023_MT,2,299
LZ22209,2/13/2023_MT,2,318
LZ22221,2/13/2023_MT,2,181
negative control,2/13/2023_MT,2,298
LZ22208,2/13/2023,2,124
LZ22209,2/13/2023,2,130
LZ22221,2/13/2023,2,75
negative control,2/13/2023,2,142
LZ22208,2/8/2023,3,178
LZ22209,2/8/2023,3,187
LZ22221,2/8/2023,3,76
LZ22208,2/13/2023,3,166
LZ22209,2/13/2023,3,195
LZ22221,2/13/2023,3,125
negative control,2/13/2023,3,192
LZ22208,2/13/2023_MT,3,296
LZ22209,2/13/2023_MT,3,308
LZ22221,2/13/2023_MT,3,178
negative control,2/13/2023_MT,3,294
LZ22208,2/13/2023,3,125
LZ22209,2/13/2023,3,131
negative control,2/13/2023,3,144
LZ22223,9/9/2023,1,115
LZ22223,9/9/2023,2,85
LZ22223,9/9/2023,3,122
LZ22223,9/10/2023,1,162
LZ22223,9/10/2023,2,81
LZ22223,9/10/2023,3,81
LZ22223,9/12/2023,1,165
LZ22223,9/12/2023,2,127
LZ22223,9/12/2023,3,70
