2/8/23,Trial 1,Trial 2,Trial 3,Average,SD
LZ22208,165,140,178,161,19.3132079
LZ22209,158,120,187,155,33.6005952
LZ22221,92,82,76,83.3333333,8.08290377
2/13/23,Trial 1,Trial 2,Trial 3,Average,SD
LZ22208,191,172,166,176.333333,13.0511813
LZ22209,190,198,195,194.333333,4.04145188
LZ22221,100,126,125,117,14.7309199
negative control,198,196,192,195.333333,3.05505046
2/13/2023_MT,Trial 1,Trial 2,Trial 3,Average,SD
LZ22208,310,299,296,301.666667,6.01849003
LZ22209,291,318,308,305.666667,11.1455023
LZ22221,160,181,178,173,9.2736185
negative control,298,298,294,296.666667,1.88561808
2/13/23,Trial 1,Trial 2,Trial 3,Average,SD
LZ22208,125,124,125,124.666667,0.57735027
LZ22209,137,130,131,132.666667,3.7859389
LZ22221,68,75,,71.5,4.94974747
negative control,145,142,144,143.666667,1.52752523
